Province,Watershed,Nation_Name
AB,Peace River Basin,Moosomin
AB,Peace River Basin,Swan River First Nation
AB,Peace River Basin,Lhoosk'uz Dene Nation
AB,Peace River Basin,Lhtako Dene Nation
AB,Peace River Basin,Northern Secwepemc
AB,Peace River Basin,Kelly Lake Métis Settlement Society
AB,Peace River Basin,"Big Grassy, Biinjitiwaabik Zaaging Anishinaabek, Bingwi Neeyashi Anishinaabek, Brunswick House, Chapleau Ojibway, Eagle Lake, Grassy Narrows First Nation, M'Chigeeng First Nation, Magnetawan, Ochiichagwe'babigo'ining First Nation, Poplar Hill, Seine River First Nation, Serpent River, Whitesand"
AB,Peace River Basin,Thunderchild First Nation
AB,Peace River Basin,Paul
AB,Peace River Basin,Metis Nation of Alberta
AB,Peace River Basin,Numbered Treaty
AB,Peace River Basin,Secwepemc Nation
AB,Peace River Basin,Stoney Indian Band
AB,Peace River Basin,
AB,Peace River Basin,
AB,Peace River Basin,
AB,Peace River Basin,
AB,Peace River Basin,
AB,Peace River Basin,
AB,Peace River Basin,
AB,Peace River Basin,
BC,Canoe River,Aseniwuche Winewak Nation
BC,Canoe River,"Bearspaw, Chiniki, Stoney"
BC,Canoe River,Lhoosk'uz Dene Nation
BC,Canoe River,Northern Secwepemc
BC,Canoe River,Secwepemc Nation
BC,Canoe River,Stoney Indian Band
BC,Canoe River,Northern Secwepemc te Qelmucw Nation
BC,Columbia River,Alexis Nakota Sioux Nation
BC,Columbia River,Aseniwuche Winewak Nation
BC,Columbia River,Blood
BC,Columbia River,Tsuu T'ina Nation
BC,Columbia River,Tsuu T'ina Nation
BC,Columbia River,Driftpile First Nation
BC,Columbia River,"Bearspaw, Chiniki, Stoney"
BC,Columbia River,Moosomin
BC,Columbia River,"Osoyoos, Upper Nicola, Okanagan Nation"
BC,Columbia River,Lower Similkameen
BC,Columbia River,Northern Secwepemc
BC,Columbia River,"Big Island Lake Cree Nation, Cumberland House Cree Nation, Marcel Colomb First Nation, Mathias Colomb, Peter Ballantyne Cree Nation, Waterhen Lake"
BC,Columbia River,Numbered Treaty
BC,Columbia River,Numbered Treaty
BC,Columbia River,Secwepemc Nation
BC,Columbia River,Stoney Indian Band
BC,Columbia River,Ktunaxa Nation and Ktunaxa/Kinbasket Tribal Council Society(Trad.Territory)
BC,Fraser River,Alexis Nakota Sioux Nation
BC,Fraser River,Aseniwuche Winewak Nation
BC,Fraser River,Tsuu T'ina Nation
BC,Fraser River,Horse Lake First Nation
BC,Fraser River,Tsuu T'ina Nation
BC,Fraser River,Driftpile First Nation
BC,Fraser River,"Bearspaw, Chiniki, Stoney"
BC,Fraser River,Swan River First Nation
BC,Fraser River,New Westminster
BC,Fraser River,Lhoosk'uz Dene Nation
BC,Fraser River,Peters
BC,Fraser River,Kwikwetlem First Nation
BC,Fraser River,Lhtako Dene Nation
BC,Fraser River,"Osoyoos, Upper Nicola, Okanagan Nation"
BC,Fraser River,Lower Similkameen
BC,Fraser River,Matsqui
BC,Fraser River,Sumas First Nation
BC,Fraser River,Union Bar
BC,Fraser River,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,Fraser River,Northern Secwepemc
BC,Fraser River,Paul
BC,Fraser River,Metis Nation of Alberta
BC,Fraser River,Numbered Treaty
BC,Fraser River,Squamish Indian People
BC,Fraser River,Katzie First Nation
BC,Fraser River,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Fraser River,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Fraser River,Musqueam Indian Band
BC,Fraser River,Nlaka'pamux Nation
BC,Fraser River,Pilalt Nation
BC,Fraser River,Secwepemc Nation
BC,Fraser River,Skwah First Nation and Skwah Nation
BC,Fraser River,Stó:lo Nation and 18 Stó:lo Bands
BC,Fraser River,Stoney Indian Band
BC,Fraser River,Ktunaxa Nation and Ktunaxa/Kinbasket Tribal Council Society(Trad.Territory)
BC,Fraser River,Northern Secwepemc te Qelmucw Nation
BC,Fraser River,Tsleil-Waututh Nation
BC,Fraser River,Squamish Nation and Squamish Indian Band
BC,Fraser River,Yale First Nation
BC,Fraser River,
BC,Fraser River,
BC,Harrison River,Peters
BC,Harrison River,Sumas First Nation
BC,Harrison River,Union Bar
BC,Harrison River,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,Harrison River,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Harrison River,Nlaka'pamux Nation
BC,Harrison River,Pilalt Nation
BC,Harrison River,Skwah First Nation and Skwah Nation
BC,Harrison River,Stó:lo Nation and 18 Stó:lo Bands
BC,Harrison River,Yale First Nation
BC,Harrison River,
BC,North Thompson River,Aseniwuche Winewak Nation
BC,North Thompson River,Lhoosk'uz Dene Nation
BC,North Thompson River,Lhtako Dene Nation
BC,North Thompson River,Northern Secwepemc
BC,North Thompson River,Nlaka'pamux Nation
BC,North Thompson River,Secwepemc Nation
BC,North Thompson River,Stoney Indian Band
BC,North Thompson River,Ktunaxa Nation and Ktunaxa/Kinbasket Tribal Council Society(Trad.Territory)
BC,North Thompson River,Northern Secwepemc te Qelmucw Nation
BC,Okanagan River,Peters
BC,Okanagan River,"Osoyoos, Upper Nicola, Okanagan Nation"
BC,Okanagan River,Lower Similkameen
BC,Okanagan River,Union Bar
BC,Okanagan River,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,Okanagan River,Northern Secwepemc
BC,Okanagan River,Nlaka'pamux Nation
BC,Okanagan River,Secwepemc Nation
BC,Okanagan River,Stó:lo Nation and 18 Stó:lo Bands
BC,Okanagan River,Yale First Nation
BC,South Coast Islands,Squamish Indian People
BC,South Coast Islands,Squamish Indian People
BC,South Coast Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,South Coast Islands,Squamish Nation and Squamish Indian Band
BC,South Coast Islands,Squamish Nation and Squamish Indian Band
BC,South Coast Rivers,New Westminster
BC,South Coast Rivers,Kwikwetlem First Nation
BC,South Coast Rivers,Kwikwetlem First Nation
BC,South Coast Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,South Coast Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,South Coast Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,South Coast Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,South Coast Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,South Coast Rivers,Squamish Indian People
BC,South Coast Rivers,Squamish Indian People
BC,South Coast Rivers,Squamish Indian People
BC,South Coast Rivers,Katzie First Nation
BC,South Coast Rivers,Katzie First Nation
BC,South Coast Rivers,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,South Coast Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,South Coast Rivers,Musqueam Indian Band
BC,South Coast Rivers,Musqueam Indian Band
BC,South Coast Rivers,Musqueam Indian Band
BC,South Coast Rivers,Musqueam Indian Band
BC,South Coast Rivers,Musqueam Indian Band
BC,South Coast Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,South Coast Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,South Coast Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,South Coast Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,South Coast Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,South Coast Rivers,Tsleil-Waututh Nation
BC,South Coast Rivers,Squamish Nation and Squamish Indian Band
BC,South Coast Rivers,
BC,South Coast Rivers,
BC,South Coast Rivers,
BC,South Coast Rivers,
BC,South Thompson River,"Bearspaw, Chiniki, Stoney"
BC,South Thompson River,"Osoyoos, Upper Nicola, Okanagan Nation"
BC,South Thompson River,Lower Similkameen
BC,South Thompson River,Northern Secwepemc
BC,South Thompson River,Nlaka'pamux Nation
BC,South Thompson River,Secwepemc Nation
BC,South Thompson River,Stoney Indian Band
BC,South Thompson River,Ktunaxa Nation and Ktunaxa/Kinbasket Tribal Council Society(Trad.Territory)
BC,Thompson River,Peters
BC,Thompson River,"Osoyoos, Upper Nicola, Okanagan Nation"
BC,Thompson River,Lower Similkameen
BC,Thompson River,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,Thompson River,Northern Secwepemc
BC,Thompson River,Moose Deer Point
BC,Thompson River,Nlaka'pamux Nation
BC,Thompson River,Secwepemc Nation
BC,Thompson River,Stó:lo Nation and 18 Stó:lo Bands
BC,Thompson River,Northern Secwepemc te Qelmucw Nation
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Van. Isle. (East) Gulf Islands,
BC,Vancouver Island (East) Rivers,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Vancouver Island (East) Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Vancouver Island (East) Rivers,
BC,Vancouver Island (East) Rivers,
BC,Vancouver Island (East) Rivers,
BC,Vancouver Island (East) Rivers,
BC,Vancouver Island (East) Rivers,
BC,Vancouver Island (West) Rivers,"Hul'qumi'num Nation (Core), Cowichan Tribes and Cowichan Indian Band (Core)"
BC,Vancouver Island (West) Rivers,"Hul'qumi'num Nation (Fishing), Cowichan Tribes and Cowichan Indian Band (Fishing)"
BC,Vancouver Island (West) Rivers,
BC,Vancouver Island (West) Rivers,
BC,Vancouver Island (West) Rivers,
BC,Vancouver Island (West) Rivers,
BC,Washington (Coast) Rivers,Peters
BC,Washington (Coast) Rivers,"Osoyoos, Upper Nicola, Okanagan Nation"
BC,Washington (Coast) Rivers,Lower Similkameen
BC,Washington (Coast) Rivers,Matsqui
BC,Washington (Coast) Rivers,Union Bar
BC,Washington (Coast) Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,Washington (Coast) Rivers,"Matsqui, Peters, Scowlitz, Sumas First Nation, Union Bar"
BC,Washington (Coast) Rivers,Nlaka'pamux Nation
BC,Washington (Coast) Rivers,Skwah First Nation and Skwah Nation
BC,Washington (Coast) Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,Washington (Coast) Rivers,Stó:lo Nation and 18 Stó:lo Bands
BC,Washington (Coast) Rivers,
